bibtex_nick,Species,time_point_h,variable,value,variation_value,variation_type,series_name,source_figure,Family,breeding_system,total_longevity,ovule_number,pollen_number,image_path,methods_notes,life_form
Xiong2013,Podophyllum hexandrum,48.0,pollen_load_stigma,21.2,5.8,SE,Open-pollinated,Figure 4,Berberidaceae,"Self-compatible, delayed autonomous selfing; pollinator-limited",12-15 days,73,33810,Data_images/xiong2013/plt037.pdf,Comparison of stigmatic pollen loads in bagged vs open-pollinated flowers to test for delayed selfing mechanism.,Rhizomatous perennial herb
Xiong2013,Podophyllum hexandrum,192.0,pollen_load_stigma,352.5,31.5,SE,Open-pollinated,Figure 4,Berberidaceae,"Self-compatible, delayed autonomous selfing; pollinator-limited",12-15 days,73,33810,Data_images/xiong2013/plt037.pdf,Comparison of stigmatic pollen loads in bagged vs open-pollinated flowers to test for delayed selfing mechanism.,Rhizomatous perennial herb
Xiong2013,Podophyllum hexandrum,288.0,pollen_load_stigma,438.4,41.2,SE,Open-pollinated,Figure 4,Berberidaceae,"Self-compatible, delayed autonomous selfing; pollinator-limited",12-15 days,73,33810,Data_images/xiong2013/plt037.pdf,Comparison of stigmatic pollen loads in bagged vs open-pollinated flowers to test for delayed selfing mechanism.,Rhizomatous perennial herb
Xiong2013,Podophyllum hexandrum,48.0,pollen_load_stigma,0.0,0.0,SE,Bagged,Figure 4,Berberidaceae,"Self-compatible, delayed autonomous selfing; pollinator-limited",12-15 days,73,33810,Data_images/xiong2013/plt037.pdf,Comparison of stigmatic pollen loads in bagged vs open-pollinated flowers to test for delayed selfing mechanism.,Rhizomatous perennial herb
Xiong2013,Podophyllum hexandrum,192.0,pollen_load_stigma,337.3,35.6,SE,Bagged,Figure 4,Berberidaceae,"Self-compatible, delayed autonomous selfing; pollinator-limited",12-15 days,73,33810,Data_images/xiong2013/plt037.pdf,Comparison of stigmatic pollen loads in bagged vs open-pollinated flowers to test for delayed selfing mechanism.,Rhizomatous perennial herb
Xiong2013,Podophyllum hexandrum,288.0,pollen_load_stigma,412.5,38.6,SE,Bagged,Figure 4,Berberidaceae,"Self-compatible, delayed autonomous selfing; pollinator-limited",12-15 days,73,33810,Data_images/xiong2013/plt037.pdf,Comparison of stigmatic pollen loads in bagged vs open-pollinated flowers to test for delayed selfing mechanism.,Rhizomatous perennial herb
